notification_id,job_name,exam_name,department,organization,qualification,age,salary,pay_level,vacancies,state,location,category,application_start,application_end,exam_date,result_date,official_website,official_pdf,apply_link,selection_process,application_fee,status,verification_status,verification_source,verification_timestamp,confidence,priority,notes,tags,first_seen,last_checked,days_left
d4b65d22faf6,Jalna DCC Bank Recruitment 2026 – Apply Online for 70 Various Posts | Last Date 18-07-2026,,,Jalna DCC Bank,,,,,,Maharashtra,Maharashtra,Job,,2026-07-18,,,,,https://www.indgovtjobs.in/2026/07/Jalna-DCC-Bank-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,clerk jobs,maharashtra jobs,manager jobs",2026-07-13T11:44:56,2026-07-18T19:27:07,0
f83de0932e7f,IIT Kharagpur Professional Trainees Recruitment 2026: Apply for 10 Posts | Last Date 19-07-2026,,,IIT Kharagpur Professional Trainees,,,,,10,West Bengal,West Bengal,Job,,2026-07-19,,,,,https://www.indgovtjobs.in/2026/07/iit-kharagpur-professional-trainees.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,accountant,west bengal jobs",2026-07-13T20:20:19,2026-07-18T19:27:07,1
e61b1564ba88,Deendayal Port Authority Recruitment 2026 – Apply Online for 05 Assistant Manager Posts | Last Date 19-07-2026,,,Deendayal Port Authority,,,,,,Gujarat,Gujarat,Job,,2026-07-19,,,,,https://www.indgovtjobs.in/2026/06/deendayal-port-authority-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,gujarat jobs,manager jobs,port jobs",2026-07-18T19:26:39,2026-07-18T19:27:07,1
20ce9957b1ad,"ISRO ISTRAC:02:2026: Recruitment to the posts of Technician 'B', Draughtsman 'B', Technical Assistant, Scientific Assistant, Library Assistant 'A' and Cook 'A'",,"ISRO Telemetry, Tracking and Command Network (ISTRAC)",ISRO,Diploma / B.Sc / ITI per post,18-35,,,26,All India,Bengaluru,Job,2026-06-27,2026-07-20,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,Written test + skill test,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-18T19:27:06,0.85,Critical,,"isro,space,central,bengaluru",2026-07-09T19:37:59,2026-07-18T19:27:07,2
6510c1beeb15,"HPCL Junior Executive Recruitment 2026 – Notification, Online Form, 54 Posts | Last Date 20-07-2026",,,HPCL Junior Executive,,,,,54,All India,All India,Job,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/hpcl-junior-executive-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,diploma jobs,fire and safety,hpcl,new",2026-07-13T11:44:56,2026-07-18T19:27:07,2
5a5f4ed79766,IOB Apprentice Recruitment 2026 – Apply Online for 750 Vacancies | Last Date 20-07-2026,,,IOB Apprentice,,,,,750,All India,All India,Apprenticeship,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/IOB-Apprentice-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-15T19:40:09,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,bank jobs,new",2026-07-13T11:44:56,2026-07-18T19:27:07,2
86e7f9e035c0,"IOB Apprentice Recruitment 2026 – Apply Online for 750 Posts, Notification | Last Date 20-07-2026",,,IOB Apprentice,,,,,750,All India,All India,Apprenticeship,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/IOB-Apprentice-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,bank jobs,new",2026-07-16T19:38:19,2026-07-18T19:27:07,2
7dad31edacce,IBPS PO 2026 (CRP PO/MT-XVI) - 6715 Probationary Officers,,11 Public Sector Banks,IBPS,Graduation in any discipline,20-30 as on 01-07-2026,"Basic Rs 48,480 JMGS-I",,6715,All India,All India,Exam,2026-07-01,2026-07-21,"Prelims 22-23 Aug 2026, Mains 04 Oct 2026",,https://www.ibps.in/,,https://www.ibps.in/,Prelims + Mains + Interview,"Rs 850 (Gen), Rs 175 (SC/ST/PwBD)",Not Applied,Verified with Official Website,official:ibps.in,2026-07-09T19:37:59,0.85,Critical,,"ibps,banking,po",2026-07-09T19:37:59,2026-07-18T19:27:07,3
facb4744821b,IBPS PO MT XVI Recruitment 2026 – Apply Online for 6715+ Posts | Last Date 21-07-2026,,,IBPS PO MT XVI,,,,,6715,All India,All India,Job,,2026-07-21,,,,,https://www.indgovtjobs.in/2026/07/IBPS-PO-MT-XVI.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-18T19:27:07,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,ibps,management trainees,new",2026-07-13T11:44:56,2026-07-18T19:27:07,3
8fa1c254d3ec,IBPS SO Notification 2026 - Apply Online for 745+ Posts | Last Date 21-07-2026,,,IBPS SO Notification 2026 - Apply Online for 745+ Posts | La,,,,,745,All India,All India,Job,,2026-07-21,,,,,https://www.indgovtjobs.in/2026/07/IBPS-SO-Notification.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-14T19:47:05,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,agriculture,ibps,it jobs,law",2026-07-13T11:44:56,2026-07-18T19:27:07,3
