notification_id,job_name,exam_name,department,organization,qualification,age,salary,pay_level,vacancies,state,location,category,application_start,application_end,exam_date,result_date,official_website,official_pdf,apply_link,selection_process,application_fee,status,verification_status,verification_source,verification_timestamp,confidence,priority,notes,tags,first_seen,last_checked,days_left
abc8de3ebb54,BEL Panchkula SAE Recruitment 2026 - Apply Online for 06 Posts | Last Date 16-07-2026,,,BEL Panchkula SAE,,,,,06,Haryana,Haryana,Job,,2026-07-16,,,,,https://www.indgovtjobs.in/2026/06/bel-panchkula-sae-recruitment-2026.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bel jobs,engineer jobs,ex-serviceman jobs,haryana jobs",2026-07-15T19:39:42,2026-07-16T19:38:46,0
8f0a7d9e4c32,ISRO SDSC SHAR/RMT/02/2026: Recruitment to the position of Research Associat (RA-I).,,"SatishDhawan Space Centre (SDSC) SHAR , Sriharikota",ISRO,,,,,,All India,"SatishDhawan Space Centre (SDSC) SHAR , Sriharikota",Job,2026-06-23,2026-07-17,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-16T19:38:46,0.85,Critical,Advertisement SDSC SHAR/RMT/02/2026,"isro,space,central",2026-07-09T19:38:00,2026-07-16T19:38:46,1
3e0b7d4bb183,"UPSC Advertisement No.07/2026: Notification, Online Form, 450+ Posts | Last Date 17-07-2026",,,"UPSC Advertisement No.07/2026: Notification, Online Form, 45",,,,,450,All India,All India,Job,,2026-07-17,,,,,https://www.indgovtjobs.in/2026/06/upsc-advertisement-no-07-2026.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,faculty jobs,law,medical jobs",2026-07-13T11:44:56,2026-07-16T19:38:46,1
d8628e4fadd1,"SDSC SHAR Research Associate Recruitment 2026 – Notification, Online Form | Last Date 17-07-2026",,,SDSC SHAR Research Associate,,,,,,Andhra Pradesh,Andhra Pradesh,Job,,2026-07-17,,,,,https://www.indgovtjobs.in/2026/06/sdsc-shar-research-associate.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,andhra pradesh,isro jobs,research jobs",2026-07-16T19:38:19,2026-07-16T19:38:46,1
d4b65d22faf6,Jalna DCC Bank Recruitment 2026 – Apply Online for 70 Various Posts | Last Date 18-07-2026,,,Jalna DCC Bank,,,,,,Maharashtra,Maharashtra,Job,,2026-07-18,,,,,https://www.indgovtjobs.in/2026/07/Jalna-DCC-Bank-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bank jobs,clerk jobs,maharashtra jobs,manager jobs",2026-07-13T11:44:56,2026-07-16T19:38:46,2
f83de0932e7f,IIT Kharagpur Professional Trainees Recruitment 2026: Apply for 10 Posts | Last Date 19-07-2026,,,IIT Kharagpur Professional Trainees,,,,,10,West Bengal,West Bengal,Job,,2026-07-19,,,,,https://www.indgovtjobs.in/2026/07/iit-kharagpur-professional-trainees.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,accountant,west bengal jobs",2026-07-13T20:20:19,2026-07-16T19:38:46,3
20ce9957b1ad,"ISRO ISTRAC:02:2026: Recruitment to the posts of Technician 'B', Draughtsman 'B', Technical Assistant, Scientific Assistant, Library Assistant 'A' and Cook 'A'",,"ISRO Telemetry, Tracking and Command Network (ISTRAC)",ISRO,Diploma / B.Sc / ITI per post,18-35,,,26,All India,Bengaluru,Job,2026-06-27,2026-07-20,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,Written test + skill test,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-16T19:38:46,0.85,High,,"isro,space,central,bengaluru",2026-07-09T19:37:59,2026-07-16T19:38:46,4
6510c1beeb15,"HPCL Junior Executive Recruitment 2026 – Notification, Online Form, 54 Posts | Last Date 20-07-2026",,,HPCL Junior Executive,,,,,54,All India,All India,Job,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/hpcl-junior-executive-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,diploma jobs,fire and safety,hpcl,new",2026-07-13T11:44:56,2026-07-16T19:38:46,4
5a5f4ed79766,IOB Apprentice Recruitment 2026 – Apply Online for 750 Vacancies | Last Date 20-07-2026,,,IOB Apprentice,,,,,750,All India,All India,Apprenticeship,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/IOB-Apprentice-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-15T19:40:09,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,bank jobs,new",2026-07-13T11:44:56,2026-07-16T19:38:46,4
86e7f9e035c0,"IOB Apprentice Recruitment 2026 – Apply Online for 750 Posts, Notification | Last Date 20-07-2026",,,IOB Apprentice,,,,,750,All India,All India,Apprenticeship,,2026-07-20,,,,,https://www.indgovtjobs.in/2026/07/IOB-Apprentice-Recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-16T19:38:46,0.3,High,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,apprenticeship training,bank jobs,new",2026-07-16T19:38:19,2026-07-16T19:38:46,4
