notification_id,job_name,exam_name,department,organization,qualification,age,salary,pay_level,vacancies,state,location,category,application_start,application_end,exam_date,result_date,official_website,official_pdf,apply_link,selection_process,application_fee,status,verification_status,verification_source,verification_timestamp,confidence,priority,notes,tags,first_seen,last_checked,days_left,stage
5b55eb7f7496,"Karnataka High Court Assistant Court Secretary 2026 (HCRB/ACS-1,2/2026) - 73 posts",,Karnataka Judiciary,High Court of Karnataka,Any Bachelor's degree; English shorthand skill tested,,,,73,Karnataka,Bengaluru,Job,2026-07-01,2026-07-30,,,https://judiciary.karnataka.gov.in/,,https://judiciary.karnataka.gov.in/recruitment/hck/asr/home.php,Shorthand test + interview,,Not Applied,Verified with Official Website,official:judiciary.karnataka.gov.in,2026-07-09T19:38:00,0.85,Critical,,"karnataka,high court,graduate,bengaluru",2026-07-09T19:38:00,2026-07-30T09:22:13,0,New
81fc62bcea08,KEA VAO Recruitment 2026 – Apply Online for 572 Posts | Last Date 30-07-2026,,,KEA VAO,,,,,572,Karnataka,Karnataka,Job,,2026-07-30,,,,,https://www.indgovtjobs.in/2026/07/kea-vao-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,karnataka jobs,officer jobs",2026-07-16T18:44:24,2026-07-30T09:22:13,0,New
f08d2ed875c8,"DMRC Executive Finance Recruitment 2026: Notification, Application Form | Last Date 30-07-2026",,,DMRC Executive Finance,,,,,,Delhi,Delhi,Job,,2026-07-30,,,,,https://www.indgovtjobs.in/2026/07/dmrc-executive-finance-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,delhi jobs,finance jobs,metro rail jobs",2026-07-25T15:28:12,2026-07-30T09:22:13,0,New
288e12335bb9,BPSSC Company Commander Recruitment 2026 - Apply Online for 65 Posts | Last Date 30-07-2026,,,BPSSC Company Commander,,,,,65,Bihar,Bihar,Job,,2026-07-30,,,,,https://www.indgovtjobs.in/2026/07/bpssc-company-commander-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,bihar jobs",2026-07-29T14:50:01,2026-07-30T09:22:13,0,New
f38847e85b8a,"ISRO ISTRAC:01:2026: Recruitment to the posts of Graduate Apprentice Trainee,Diploma Apprentice Trainee,Diploma in Commercial Practice and Trade ITI.",,"ISRO Telemetry, Tracking and Command Network (ISTRAC)",ISRO,"B.E/B.Tech, Diploma, ITI (recent graduates)",,,,,All India,Bengaluru,Apprenticeship,2026-06-22,2026-07-31,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,Merit shortlist / interview,Nil,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-30T09:22:12,0.85,Critical,,"isro,space,central,bengaluru",2026-07-09T19:37:59,2026-07-30T09:22:13,1,New
a0351205e25c,SSC MTS and Havaldar 2026,,Government of India,Staff Selection Commission,10th pass,"MTS 18-25, Havaldar 18-27","Level 1 (Rs 18,000)",,,All India,All India,Exam,2026-06-30,2026-07-31,CBE Sep-Nov 2026,,https://ssc.gov.in/,,https://ssc.gov.in/,CBE (+PET/PST for Havaldar),"Rs 100, exempt SC/ST/women/PwBD",Not Applied,Verified with Official Website,official:ssc.gov.in,2026-07-09T19:37:59,0.85,Critical,,"ssc,mts,10th pass",2026-07-09T19:37:59,2026-07-30T09:22:13,1,New
68c882b5d374,Karnataka High Court Group D 2026 (HCRB 8/2025 and 9/2025 revised) - 106 posts,,Karnataka Judiciary,High Court of Karnataka,SSLC/10th (check over-qualification rules in notification),18-40,Level 2-3 state scale,,106,Karnataka,Bengaluru + benches,Job,2026-07-02,2026-07-31,,,https://judiciary.karnataka.gov.in/,,https://judiciary.karnataka.gov.in/recruitment/hck/asr/home.php,,,Not Applied,Verified with Official Website,official:judiciary.karnataka.gov.in,2026-07-09T19:38:00,0.85,Critical,,"karnataka,high court,group d,10th pass",2026-07-09T19:38:00,2026-07-30T09:22:13,1,New
2ebba66fb0e3,CCRUM Vacancy Advt No 01/2026 – Apply Online for 180 Posts | Last Date 31-07-2026,,,CCRUM,,,,,180,Delhi,Delhi,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/06/CCRUM-Vacancy-Advt-No-01.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,clerk jobs,delhi jobs,nurse jobs,officer jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
210ade9e5bf9,NGEL Recruitment 2026 – Apply Online for 114 Assistant Engineer & DGM Posts | Last Date 31-07-2026,,,NGEL,,,,,,All India,All India,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/06/ngel-engineer-recruitment.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,engineer jobs,manager jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
a27d081b19cd,NIT Manipur Assistant Professor Recruitment 2026: Apply Online for 07 Posts | Last Date 31-07-2026,,,NIT Manipur Assistant Professor,,,,,07,Manipur,Manipur,Job,,2026-07-31,,,,,https://www.indgovtjobs.in/2026/07/nit-manipur-assistant-professor.html,,,Not Applied,Unverified,aggregator:indgovtjobs.in,2026-07-30T09:22:13,0.3,Critical,Found via aggregator - needs official confirmation,"aggregator,indgovtjobs.in,faculty jobs,institute and university jobs,manipur jobs",2026-07-13T11:44:56,2026-07-30T09:22:13,1,New
